Date,ITCRM ,ITCRB Brasil,ITCRB Estados Unidos
2000-02-24,73.598,82.3501427,75.2054344
2000-02-25,73.217,82.35372,75.2160298
2000-02-26,73.226,82.3572975,75.2266268
2000-02-27,73.236,82.3608751,75.2372253
2000-02-28,73.151,82.3644528,75.2478252
2000-02-29,73.074,82.3680308,75.2584266
2000-03-01,73.097,82.3879459,75.2855308
2000-03-02,73.118,82.4078659,75.3126447
2000-03-03,73.126,82.4277907,75.3397684
2000-03-04,73.147,82.4477203,75.3669018
2000-03-05,73.168,82.4676548,75.394045
2000-03-06,73.111,82.487594,75.421198
2000-03-07,73.121,82.5075381,75.4483608
2000-03-08,73.095,82.527487,75.4755333
2000-03-09,73.359,82.5474407,75.5027156
2000-03-10,73.332,82.5673992,75.5299078
2000-03-11,73.353,82.5873626,75.5571097
2000-03-12,73.375,82.6073308,75.5843214
2000-03-13,73.353,82.6273038,75.6115429
2000-03-14,73.862,83.9680541,75.6387742
2000-03-15,73.987,83.9883561,75.6660154
2000-03-16,74.024,84.008663,75.6932663
2000-03-17,74.034,84.0289749,75.720527
2000-03-18,74.055,84.0492916,75.7477976
2000-03-19,74.077,84.0696133,75.775078
2000-03-20,74.096,84.0899399,75.8023682
2000-03-21,74.303,84.885539,75.8296682
2000-03-22,74.091,84.9060628,75.8569781
2000-03-23,74.299,84.9265917,75.8842978
2000-03-24,74.41,84.9471254,75.9116274
2000-03-25,74.432,84.9676642,75.9389668
2000-03-26,74.453,84.9882079,75.966316
2000-03-27,73.764,82.2043857,75.9936751
2000-03-28,73.707,82.2242613,76.021044
2000-03-29,73.561,82.2441417,76.0484228
2000-03-30,73.635,82.2640269,76.0758115
2000-03-31,73.662,82.2839169,76.10321
2000-04-01,73.67,82.2985066,76.1045816
2000-04-02,73.678,82.3130988,76.1059531
2000-04-03,73.625,82.3276936,76.1073247
2000-04-04,74.005,82.342291,76.1086963
2000-04-05,73.866,82.356891,76.1100679
2000-04-06,73.718,82.3714936,76.1114396
2000-04-07,73.659,82.3860988,76.1128113
2000-04-08,73.667,82.4007065,76.114183
2000-04-09,73.675,82.4153169,76.1155547
2000-04-10,73.757,82.4299298,76.1169265
2000-04-11,73.755,82.4445454,76.1182982
2000-04-12,73.668,82.4591635,76.11967
2000-04-13,73.622,82.4737842,76.1210419
2000-04-14,73.651,82.4884075,76.1224137
2000-04-15,73.659,82.5030335,76.1237856
2000-04-16,73.667,82.517662,76.1251575
2000-04-17,73.668,82.532293,76.1265294
2000-04-18,73.938,84.2946808,76.1279014
2000-04-19,73.844,84.309627,76.1292734
2000-04-20,73.852,84.3245758,76.1306454
2000-04-21,73.86,84.3395273,76.1320174
2000-04-22,73.869,84.3544814,76.1333895
2000-04-23,73.877,84.3694382,76.1347615
2000-04-24,73.744,84.3843976,76.1361336
2000-04-25,73.462,84.3993597,76.1375058
2000-04-26,73.357,84.4143244,76.1388779
2000-04-27,73.112,84.4292918,76.1402501
2000-04-28,73.034,84.4442619,76.1416223
2000-04-29,73.042,84.4592346,76.1429945
2000-04-30,73.05,84.4742099,76.1443668
2000-05-01,73.062,84.4850923,76.1582407
2000-05-02,72.941,84.4959762,76.1721172
2000-05-03,72.756,84.5068614,76.1859963
2000-05-04,72.686,84.517748,76.1998778
2000-05-05,72.751,84.5286361,76.2137619
2000-05-06,72.763,84.5395255,76.2276485
2000-05-07,72.775,84.5504163,76.2415377
2000-05-08,72.821,84.5613086,76.2554293
2000-05-09,72.833,84.5722022,76.2693236
2000-05-10,72.845,84.5830973,76.2832203
2000-05-11,72.858,84.5939937,76.2971196
2000-05-12,72.87,84.6048916,76.3110214
2000-05-13,72.882,84.6157908,76.3249257
2000-05-14,72.894,84.6266915,76.3388326
2000-05-15,72.907,84.6375936,76.352742
2000-05-16,72.242,81.9901174,76.3666539
2000-05-17,71.947,82.0006799,76.3805684
2000-05-18,72.039,82.0112436,76.3944854
2000-05-19,72.162,82.0218088,76.408405
2000-05-20,72.175,82.0323753,76.422327
2000-05-21,72.187,82.0429431,76.4362517
2000-05-22,72.351,82.0535123,76.4501788
2000-05-23,72.316,82.0640829,76.4641085
2000-05-24,72.493,82.0746548,76.4780407
2000-05-25,72.506,82.0852281,76.4919755
2000-05-26,73.015,82.0958028,76.5059128
2000-05-27,73.027,82.1063788,76.5198527
2000-05-28,73.039,82.1169562,76.5337951
2000-05-29,72.891,82.127535,76.54774
2000-05-30,73.158,82.1381151,76.5616875
2000-05-31,73.072,82.1486966,76.5756375
2000-06-01,72.988,82.1600642,76.5952301
2000-06-02,73.295,82.1714334,76.6148277
2000-06-03,73.308,82.1828042,76.6344304
2000-06-04,73.321,82.1941766,76.654038
2000-06-05,73.707,83.3071172,76.6736507
2000-06-06,73.929,83.3186451,76.6932684
2000-06-07,74.104,83.3301746,76.7128911
2000-06-08,73.998,83.3417058,76.7325188
2000-06-09,73.882,83.3532385,76.7521516
2000-06-10,73.894,83.3647728,76.7717894
2000-06-11,73.907,83.3763088,76.7914322
2000-06-12,74.016,83.3878463,76.81108
2000-06-13,74.183,83.3993854,76.8307329
2000-06-14,74.144,83.4109261,76.8503908
2000-06-15,74.073,83.4224684,76.8700537
2000-06-16,74.277,83.4340123,76.8897216
2000-06-17,74.29,83.4455578,76.9093946
2000-06-18,74.303,83.4571049,76.9290726
2000-06-19,74.316,83.4686536,76.9487557
2000-06-20,74.183,83.4802039,76.9684437
2000-06-21,73.98,83.4917558,76.9881369
2000-06-22,73.934,83.5033093,77.007835
2000-06-23,73.252,82.1840938,77.0275382
2000-06-24,73.264,82.1954664,77.0472465
2000-06-25,73.277,82.2068405,77.0669597
2000-06-26,73.278,82.2182162,77.0866781
2000-06-27,73.356,81.9145633,77.1064014
2000-06-28,73.406,81.9258986,77.1261299
2000-06-29,73.595,81.9372354,77.1458633
2000-06-30,73.669,81.9485738,77.1656018
2000-07-01,73.673,81.9793524,77.1620318
2000-07-02,73.678,82.0101427,77.158462
2000-07-03,73.6,82.0409445,77.1548923
2000-07-04,73.585,82.0717579,77.1513228
2000-07-05,73.619,82.1025829,77.1477534
2000-07-06,73.634,82.1334194,77.1441842
2000-07-07,73.558,82.1642675,77.1406152
2000-07-08,73.563,82.1951272,77.1370464
2000-07-09,73.567,82.2259985,77.1334777
2000-07-10,73.628,82.2568814,77.1299091
2000-07-11,73.63,82.2877759,77.1263408
2000-07-12,73.49,82.318682,77.1227726
2000-07-13,73.494,82.3495997,77.1192045
2000-07-14,73.499,82.380529,77.1156367
2000-07-15,73.504,82.41147,77.112069
